"","mean","var","max","min","station"
"1","20.1211095837385","93.1924278574616","41.1430697278912","10.4285714285714","ATI"
"2","56.5598855073671","442.818952614151","91.9483333333333","31.9876936531734","AZC"
"3","52.8346183038708","330.172337435991","83.0347222222222","27.4684782608696","BJU"
"4","68.3017885405494","408.562644971509","112.243279569892","47.3715217391304","CES"
"5","43.4293918487635","428.519047809088","70.6195345875476","13.909331797235","FAC"
"6","76.767973255012","298.586430600053","106.053451178451","50.1204984628898","HAN"
"7","71.4495907234436","681.163888398672","105.58885640026","36.5901460254721","LAG"
"8","81.4088102982908","497.541916187336","117.797281340533","55.3435283510319","MER"
"9","42.721057173617","102.023569364586","55.2804487179487","20.7275078722447","PED"
"10","46.8911581148813","125.657944351967","62.4341352051247","31.9164483342744","PLA"
"11","68.4768764885034","1899.73905084948","154.417597187758","25.3074116743472","SAG"
"12","45.6724196172141","235.375238230675","69.3118279569892","26.2343006471363","SUR"
"13","61.2898978537504","217.246633684435","86.6944359987838","40.4511453950444","TAC"
"14","86.7603913327453","922.505825841249","133.996373522846","55.6883473585788","TAX"
"15","76.2539347542668","315.214397032158","112.9885420835","55.1888586956522","TLA"
"16","44.1888000280552","453.609442498522","86.8936485704516","17.8632454681984","TLI"
"17","45.5420930943317","175.300152470864","73.2808333333333","28.1903067946546","UIZ"
"18","23.3810046279675","202.536812028998","47.8875","8.24085029821355","VIF"
"19","86.8468939669625","914.566119905733","144.339157706093","51.8176273605621","XAL"
