"","mean","var","max","min","station"
"1","17.0068637808552","5.25037774915366","20.9672441622992","12.7333333333333","CES"
"2","14.4796270771487","3.88970688972356","17.9568548387097","11.3742883022774","CUA"
"3","16.6641057707288","6.22575414584659","20.7113880742913","12.0092190016103","FAC"
"4","17.5571031248756","7.03007006243565","21.9675425041851","12.9084844386562","HAN"
"5","17.5206651821704","6.06878357528535","22.2144695652174","13.0289629666733","MER"
"6","16.544249536213","5.86785564598847","20.6965229079009","11.9918885485101","PED"
"7","16.6624501737236","5.81256811728524","21.1176985240099","12.4150058438523","PLA"
"8","17.626860277793","9.62568209669793","20.960235772876","12.9916666666667","SAG"
"9","17.1032542636858","6.8659430856274","21.329062362758","12.3972154742971","TAC"
"10","17.2477487143275","5.33694362187285","20.9349829270039","12.7684821921884","TAH"
"11","16.8817649153457","6.07323569292835","21.1300140877465","12.4300458937198","TLA"
"12","16.5830272198702","5.96775938100274","20.4417192613371","12.0407837801878","VIF"
"13","17.4136129687778","5.68857675709817","21.220526302741","12.9138118419423","XAL"
