"","mean","var","max","min","station"
"1","16.117903899602","24.1412095263719","25.1196084218811","10.7920788504805","AJU"
"2","18.7189211701605","19.2219699019256","26.4666549789621","12.9397440113097","AJM"
"3","23.4286460379887","35.871945392835","34.3390804597701","15.4690860215054","BJU"
"4","24.8164194321831","34.5163113702772","34.5914078674948","16.2630952380952","CAM"
"5","17.314909022256","20.1047107452111","24.7377966860725","12.399159435948","CCA"
"6","24.2392658222779","41.5444809378745","36.5333502080129","16.2070929027912","COY"
"7","24.3942300565028","41.068161153599","36.8711685823755","16.5185490901166","HGM"
"8","13.4856007676782","18.0645834971921","22.6622981545559","10.412429978928","INN"
"9","26.8001639983068","46.7347457948563","39.1153395704745","18.4742608509321","MER"
"10","22.0960131509161","29.8889789029568","30.8031609195402","14.0101449275362","MGH"
"11","19.3316708793904","33.6744171121931","29.7865381845418","13.4445351632939","MPA"
"12","21.0546629021333","37.6642405185613","31.6091670074054","13.7598814229249","NEZ"
"13","23.6976009296074","48.0782780362065","32.8966829085457","13.8714591567852","SAG"
"14","26.0336731198407","44.853971627213","38.8063725490196","17.258868539128","TLA"
"15","20.6687873685958","40.6009821535158","32.4336468129572","14.1490032057704","UAX"
"16","25.0191197246816","47.9690280871234","36.5276339103176","16.0527777777778","UIZ"
"17","28.4117413392181","65.8425652478799","42.4860706010631","17.3953304305006","XAL"
