"","month","avg","var","max","min"
"1",1,14.2298387096774,2.14900358422939,16.0458333333333,10.675
"2",2,16.926408045977,3.27394638409962,22.2,12.07
"3",3,19.5479838709677,3.9248100358423,22.1,13.1041666666667
"4",4,20.6469444444444,1.42005140485313,22.4041666666667,17.3625
"5",5,19.5240307553596,3.60829705152187,22.1166666666667,15.7
"6",6,19.3256359649123,1.86868002273246,21.1875,15.5041666666667
"7",7,18.3472018572825,0.6552973167032,19.7583333333333,16.7791666666667
"8",8,17.8448028673835,0.76640598864994,19.2958333333333,16.1375
"9",9,17.238134057971,1.99824669356898,19.5458333333333,13.8208333333333
"10",10,16.7292134174848,1.73220341920408,19.2583333333333,13.0458333333333
