"","month","avg","var","max","min"
"1",1,14.6226975222066,2.97663470601753,16.9375,10.8958333333333
"2",2,17.2657751481402,3.20347353552594,20.3916666666667,13.4208333333333
"3",3,19.2983918781079,5.10183838395679,22.2666666666667,11.4958333333333
"4",4,20.5865760869565,1.52235627057395,22.4458333333333,16.6416666666667
"5",5,19.6161348761103,4.59508466344493,22.5208333333333,15.7791666666667
"6",6,19.0188888888889,1.53236318646232,20.8125,16.5
"7",7,18.5200940860215,0.623679286617381,20.025,17.0958333333333
"8",8,17.8388206744276,1.02962642681301,19.9117647058824,15.8916666666667
"9",9,17.2105392156863,2.58599163617442,19.925,12.3411764705882
"10",10,16.8179114071996,2.94317932100647,19.5708333333333,12.275
