"","mean","var","max","min","station"
"1","15.9352348180983","5.0218252657058","19.4339809384164","12.3084677419355","ACO"
"2","10.1301656082949","6.47916631042988","13.2430568609023","6.37135343618513","AJU"
"3","16.0075223272682","2.48859746132516","18.8772360703812","13.2587732160313","AJM"
"4","17.5635595865389","3.12445255153532","20.5694525904203","14.5870967741935","BJU"
"5","15.9973516824847","5.22234633414852","19.519623655914","12.0534274193548","CHO"
"6","14.2175428236181","2.53850379267626","17.2149076671342","11.8310483870968","CUA"
"7","14.6456802393472","5.40185622728504","17.8410947204969","10.6736314760508","CUT"
"8","17.0579370195907","5.05120466331356","20.5182795698925","13.227688172043","FAC"
"9","17.8194390397266","3.34573476184131","21.0166257597008","14.8187211981567","GAM"
"10","18.0354382639107","3.01747982643349","21.0748539036933","15.0616292660122","HGM"
"11","16.2924422085207","3.36183730489625","19.6176133923779","13.0868890518084","LAA"
"12","17.590724309069","3.43226798763011","20.8625576036866","14.517876344086","MER"
"13","17.6103019996178","3.08857110930427","20.8238546049556","14.7629791958859","MGH"
"14","16.7373845879776","4.64501613841847","19.7353349282297","13.3641515315804","MON"
"15","15.6410389589086","6.81486347673852","19.9327956989247","11.8244623655914","MPA"
"16","17.0445122953048","4.89520482893808","20.8806637553657","13.0181451612903","NEZ"
"17","16.9911014577082","2.96391169357064","19.901747311828","14.0479679802956","PED"
"18","18.2672365158473","3.93679721123238","21.5573924731183","15.1286290322581","SAG"
"19","15.0342971798943","2.72546955454538","17.9907258064516","12.3454301075269","SFE"
"20","16.8374259599643","4.25846048118169","20.5569192377495","13.5742195800927","TAH"
"21","17.0166520663296","3.61482497708475","20.3494403964569","13.9426904336897","TLA"
"22","16.7455733533745","2.79462650813246","19.3893817204301","13.6989247311828","UAX"
"23","17.9565437022149","3.85450138095508","21.2642882187938","14.7654569892473","UIZ"
"24","17.028102876845","4.97762886237066","20.771004398827","13.3528225806452","VIF"
"25","17.2571548372453","3.30522566604012","20.5020570359981","14.3467099111734","XAL"
