"","mean","var","max","min","station"
"1","16.3952561322491","33.4047979873533","28.2606193926846","11.1163907427266","AJU"
"2","17.3779316911068","19.857646471241","22.8237956137272","13.6862386192949","AJM"
"3","17.9256234353727","20.4553346357085","26.3873015873016","13.2280057319549","BJU"
"4","18.0546033388857","14.0870807889688","22.1817170456237","11.1931818181818","CAM"
"5","16.4077736552043","17.5620134950492","22.830193236715","10.1206140350877","CCA"
"6","18.6796453185648","15.5620997015871","25.0840945073682","14.7785689735595","GAM"
"7","20.6340880532828","4.94695972491153","22.2068181199045","19.0613579866612","HGM"
"8","13.0884805724565","14.4125256953374","20.3432629713877","9.58878932370665","INN"
"9","20.8175799207842","16.5247079874398","26.9080045061503","15.4655632411067","MER"
"10","19.1279542643982","33.7482019791865","28.238172541744","10.8973269308999","MON"
"11","21.6656608184439","56.2995895184567","31.7517512077295","10.264834486166","NEZ"
"12","17.3850991173732","22.9900887027398","27.599318601605","13.095734435221","PED"
"13","20.4921347770686","20.8836793464833","25.4902032749859","14.8379845541295","SAG"
"14","15.3284165673717","10.3231854553421","20.8459638833153","11.6908831626252","SFE"
"15","20.7313779473569","8.5031739121666","23.8348635997746","14.9386675490794","TLA"
"16","17.411153690074","20.240650639792","24.2412439613527","12.0019698861214","UAX"
"17","19.7065758452163","29.3777283552491","28.5810593438205","13.4348552128014","UIZ"
"18","26.3040017603805","3.95521586924858","27.7102762480337","24.8977272727273","XAL"
"19","17.1055104552686","21.7016515573332","23.6535024154589","10.9846302890658","FAR"
"20","22.8900039871628","37.2372116791251","32.9484551991565","14.7281187477172","SAC"
