cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
LAA,Lab. de Analisis Ambiental,-99.147312,19.483781,2255,,484090050604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2297736991895,16.2924422085207,16.5971382208222,18.8208543759006,18.5445530953321
LAG,Lagunilla,-99.135183,19.44242,2223,Finaliz� operaci�n en 2010,484090150101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LLA,Los Laureles,-99.039644,19.578792,2230,,484150330201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOM,Lomas,-99.242062,19.403,2434,,484090160406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPR,La Presa,-99.11772,19.534727,2302,,484151040203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LVI,La Villa,-99.117749,19.46789,2228,Finaliz� operaci�n en 2010,484090050101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCM,Museo de la Cd. de M�xico,-99.131924,19.429071,2237,,484090150304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MER,Merced,-99.119594,19.42461,2245,,484090170127,16.709843684606,16.7014407488686,17.2739570878919,17.5206651821704,16.9868232462684,17.2469135017666,17.3004449473837,16.143818923726,17.0003824043028,17.9095622380257,17.2515323404614,17.8848813441482,17.4242679661179,17.7427054147624,17.3950665518335,17.2566758242596,17.3536586631748,17.590724309069,17.447759426607,18.5147735414456,19.0698329287073
MGH,Miguel Hidalgo,-99.20266,19.40405,2327,,484090160609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6371930902828,17.0673962897264,17.6103019996178,17.5201972651151,18.4862507173055,18.9136012969267
MIN,Metro Insurgentes,-99.162885,19.42144,2231,Finaliz� operaci�n en 2007,484090150201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON,Montecillo,-98.902853,19.460415,2252,,484150990113,0,0,0,0,15.8963691838453,16.5006659407554,15.87175053185,16.0728855170174,15.2340131465367,14.9216931554868,15.65917845742,16.4096740675943,15.4921998290329,15.9297413992408,16.4149587677957,16.8985216686543,16.2757353940469,16.7373845879776,16.6439535985377,17.7585019523862,18.041284045253
MPA,Milpa Alta,-98.990189,19.1769,2594,,484090090104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3644449531902,15.6410389589086,14.3734758724605,15.4243399824193,15.720858628337
NET,Netzahualcoyotl,-99.026119,19.42115,2230,Finaliz� operaci�n en 2000,484150580201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEZ,Nezahualc�yotl,-99.028212,19.393734,2235,,484150580115,0,0,0,0,0,0,0,0,0,0,0,16.6645720800151,16.2784725614853,17.3769874967427,17.4245331909769,16.8177609544911,17.3006698569398,17.0445122953048,16.033910952877,17.0446962135325,17.4831564170089
PED,Pedregal,-99.204136,19.325146,2326,,484090100127,15.9562702929959,15.7851858795512,16.2867856735696,16.544249536213,16.0297258881219,17.3823090067171,16.2425140812807,15.1027191558442,17.1856008342206,17.159995220339,15.9719650274472,16.5069060174203,15.9472061445436,16.4768713439168,15.5812180782203,16.9111687087637,16.9340546884275,16.9911014577082,16.8498696380392,17.5830725077852,17.6097166591581
PER,La Perla,-98.991858,19.38286,2237,Finaliz� operaci�n en 2011,484150580303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLA,Plateros,-99.200109,19.365869,2345,Finaliz� operaci�n en 2010,484090100209,15.9554163512648,15.8716295524099,16.2753638648462,16.6624501737236,15.747195931461,16.8613518474926,16.1590335944074,16.425319996012,16.1470658003011,16.9676206125551,16.5641234480061,0,0,0,0,0,0,0,0,0,0
POT,Portales,-99.145766,19.376494,2237,Finaliz� operaci�n en 1996,484090140102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAG,San Agust�n,-99.030324,19.532968,2241,,484150330327,16.1818731925542,15.7836705775777,16.4917223256215,17.626860277793,14.7889065873909,15.0959147849691,14.6404288401643,14.7853882066932,17.6581571753237,17.0490317736663,17.0821749868893,18.8076568212421,17.9215150562734,17.6169556102597,17.4819801292725,18.0319214690915,18.2057929756422,18.2672365158473,18.2725145108741,18.9327041992324,19.4662065256287
