"","month","avg","var","max","min"
"1",1,12.5395353302611,2.43579806250457,14.3583333333333,8.62083333333333
"2",2,15.089289446186,2.19093532623876,17.9083333333333,12.4375
"3",3,16.9827840112202,3.77400708990555,19.5708333333333,10.8333333333333
"4",4,18.1629166666667,1.63389409722222,19.9541666666667,14.5
"5",5,17.1853110599078,4.62961877331578,19.9958333333333,13.1
"6",6,16.7961111111111,1.4632662037037,18.6166666666667,13.8625
"7",7,15.9610215053763,0.395244847670251,17.0666666666667,14.8
"8",8,15.4199588805304,0.70079993621692,17.1208333333333,13.9208333333333
"9",9,15.0229347826087,1.77872605047114,17.0708333333333,11.2958333333333
"10",10,14.5568548387097,2.5153154495221,16.7791666666667,10.2625
