cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FAC,FES Acatl�n,-99.243524,19.482473000000002,2299.0,,484150570109,1.72686520063042,2.26937617517551,1.1956724040270401,1.29919829550204,1.46069335641192,0.9442412166734742,1.1133361788231202,1.0053062033392601,1.10752579842169,1.01952721334613,1.18371883288033,0.9573954886444791,0.795051642646111,0.9734733030893891,0.897536565160959,0.8096564149716892,0.7656508072761009,0.6106385885303891,0.494564906260921,0.469765091733603,0.347611077269417
FAN,Felipe �ngeles,-99.17492,19.299126,2279.0,Finaliz� operaci�n en 1996,484090120102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAM,Gustavo A. Madero,-99.09451700000001,19.4827,2227.0,,484090050809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAN,Hangares,-99.083623,19.420517999999998,2235.0,Finaliz� operaci�n en 2006,484090170209,2.56645233050129,1.95019763278877,2.2581461709524198,1.7664447268711299,1.7894474097375501,1.5320112225640699,1.24974044926472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HGM,Hospital General de M�xico,-99.15220699999999,19.411617,2234.0,,484090150409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.953001831203939,0.8999087449908609,0.859337071124442,0.8548629924863431,0.629887191900503,0.634597475347717,0.468116378346229,0.386097691065825,0.327135758233649
IBM,Legaria,-99.21536,19.443319,2314.0,,484090160504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMP,Inst. Mexicano del Petr�leo,-99.14729399999999,19.487561,2250.0,Finaliz� operaci�n en 2010,484090050209,2.61931430194508,2.10165623751312,1.7663942766928202,1.84927074825547,1.55857955739309,1.69119124540841,1.2487906179346002,1.01698592726192,0.895447585003632,0.99033399661782,1.23894840662018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INN,Investigaciones Nucleares,-99.38051999999999,19.291968,3082.0,,484150620109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340955625752846,0.253716269608099,0.20564932481886103,0.186782398191191,0.14678857810837198,0.14283986807297
IZT,Iztacalco,-99.117641,19.384413000000002,2238.0,,484090060101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8344612614929978,0.851335669378777,0.8950181004446949,0.8666115244104029,1.12517819483903,0.8734804764549,0.840963858401081,0.971077183820903,1.0507251657974,0.961392020020316,0.788124024019112,0.500791663605226,0.469859077785459,0.366419029528936
LAA,Lab. de Analisis Ambiental,-99.147312,19.483781,2255.0,,484090050604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
