"","month","avg","var","max","min"
"1",1,8.49540288747816,1.22260576153781,10.8842105263158,6.12083333333333
"2",2,10.723132183908,1.25239035987958,12.975,8.54583333333333
"3",3,12.7409946236559,1.74715751941458,15.0125,9.725
"4",4,13.4308585858586,1.02333507224808,14.8,11.1791666666667
"5",5,13.0104429640019,1.99562402757734,15.5666666666667,10.225
"6",6,13.4847804774084,1.27079582118887,15.1541666666667,11
"7",7,12.7288978494624,0.619541591995221,14.4875,11.0708333333333
"8",8,12.5289036933146,0.658569525044436,14.525,10.7625
"9",9,11.9844444444444,1.45594460408685,13.95,8.52916666666667
"10",10,11.0602150537634,1.74217226702509,13.2958333333333,7.70416666666667
