"","month","avg","var","max","min"
"1",1,12.3979663394109,3.74402389140429,16.4583333333333,8.60833333333333
"2",2,15.0684523809524,2.0693253968254,17.7541666666667,11.875
"3",3,17.1237903225806,3.18174906660693,19.4791666666667,10.8083333333333
"4",4,19.1571920289855,1.01957337262076,21.0782608695652,16.9666666666667
"5",5,18.1106182795699,3.22626254480287,20.2458333333333,13.8625
"6",6,18.3204166666667,1.31771473898467,20.225,16.225
"7",7,17.9673387096774,0.58386585274791,19.4166666666667,16.5166666666667
"8",8,17.3051075268817,0.556900126941458,18.45,15.2583333333333
"9",9,16.6172222222222,2.20972908684547,18.425,11.9291666666667
"10",10,14.8712365591398,2.91310920698925,17.35,10.8958333333333
