"","month","avg","var","max","min"
"1",1,13.9393817204301,2.85763985961768,16.2541666666667,10.6833333333333
"2",2,16.8369252873563,2.08815938013136,19.625,14.125
"3",3,19.002688172043,3.43213952359618,21.3541666666667,12.55
"4",4,20.3905555555556,1.47504781289911,22.3166666666667,17.3375
"5",5,19.276747311828,3.68422543309438,22.2416666666667,14.8291666666667
"6",6,19.6641666666667,1.64417097701149,21.2583333333333,16.7666666666667
"7",7,18.9518817204301,0.881205831839905,20.7083333333333,17.0166666666667
"8",8,18.1653225806452,1.11712544802867,20.5666666666667,16.1791666666667
"9",9,17.6355736714976,2.55418131849685,19.7583333333333,12.675
"10",10,16.5587365591398,3.22501198476702,19.6125,12.0125
