"","month","avg","var","max","min"
"1",1,15.4708333333333,2.76429050925926,17.55,11.8416666666667
"2",2,18.3337268865567,2.76701255754757,21.5541666666667,15.0291666666667
"3",3,18.3122916666667,10.0535499503968,21.2958333333333,13.2
"4",4,21.1400793650794,1.81340360449735,22.9875,17.475
"5",5,20.0238604488079,3.95415378245455,22.8833333333333,16.575
"6",6,19.5687823891085,1.79304720588063,21.4166666666667,16.1291666666667
"7",7,18.8894406902121,0.830611424816576,20.4,17.1695652173913
"8",8,18.3730142589995,1.32773564398405,20.3583333333333,16.125
"9",9,17.9262922705314,2.52664903900707,20.5458333333333,13.4208333333333
"10",10,17.4072096440259,1.98670032331921,19.6791666666667,13.7952380952381
