"","mean","var","max","min","station"
"1","22.8589245928155","23.1918853215687","32.1170662748503","16.0934358923625","ACO"
"2","23.586258048269","18.2999822910675","32.4443760262726","19.4830293223578","AJM"
"3","32.6547503750638","59.9184615162992","44.5478243356839","23.3791005291005","ATI"
"4","58.7620147183048","187.11667927906","85.3428117581343","44.8419201212901","CAM"
"5","38.8541468123612","89.2151476102843","54.0511083743842","28.2947004608295","CCA"
"6","45.4075220470872","107.874730964068","67.4675039632742","34.7463036158688","COY"
"7","31.6358871432445","34.952282349523","43.9825533661741","22.6604339199448","CUA"
"8","38.4407269084685","223.638895684131","67.8966392030908","20.842970521542","CUT"
"9","50.6524484989578","138.389850252906","71.0036098310292","34.7925856702247","FAC"
"10","50.2508426942956","125.200120756175","74.7252910502062","39.4979411088107","HGM"
"11","52.2543564778392","131.827102775835","77.0019952581313","39.9858645096454","IZT"
"12","63.9381704615293","190.633405055866","90.2293569333892","49.0756078955282","MER"
"13","55.5647975652902","139.482477015873","75.4533005901851","39.4919245247506","MGH"
"14","29.153509847751","44.3662773692361","43.4271709278722","22.1299067414914","MON"
"15","41.2158298469931","73.0853951504155","56.3582875457875","27.8135317460317","NEZ"
"16","32.1590621014471","41.6580491869997","44.8663210445469","26.463266758954","PED"
"17","41.8829227457643","138.864010694997","64.8728912041675","26.0447186147186","SAG"
"18","28.2196531156986","26.3324919298962","37.5246894409938","20.8087525879917","SFE"
"19","46.3502297982818","185.233039496799","70.6322571601104","34.855560888387","SJA"
"20","23.4017748292289","15.5913887372904","31.3120652173913","19.2012136998112","TAH"
"21","59.7440536349188","162.030399623117","84.6040137398833","45.3750178482187","TLA"
"22","38.6517591642967","102.988676739661","55.1218488734267","27.0268504263673","TLI"
"23","35.9432174539946","67.5323456496471","51.6417783829074","27.1395929339478","UAX"
"24","46.1154622898622","97.8755427855211","63.0405897281774","36.1703554175293","UIZ"
"25","31.9496103455039","108.074537875542","47.552824006657","18.9934729064039","VIF"
"26","65.7993415052857","310.543012353389","96.3908339689804","41.1383975220182","XAL"
