"","month","avg","var","max","min"
"1",1,14.3168010752688,3.36928296744325,16.8625,10.3541666666667
"2",2,16.8368103448276,3.61264251334154,20.1958333333333,12.5083333333333
"3",3,19.0331989247312,5.7652910692951,22.4541666666667,11.4
"4",4,21.0379797979798,1.73858579855504,23.3041666666667,17.3458333333333
"5",5,20.0521505376344,5.14224522102748,23.1708333333333,16.2458333333333
"6",6,19.3354166666667,1.73807561063218,21.4583333333333,16.8916666666667
"7",7,18.9008064516129,0.569616226105137,20.3916666666667,17.075
"8",8,18.2030738662927,0.704620001671285,19.95,16.3458333333333
"9",9,17.4469444444444,2.57773938378033,19.9333333333333,12.3375
"10",10,16.7181451612903,2.76587910692951,19.4083333333333,12.5458333333333
