"","month","avg","var","max","min"
"1",1,15.5747028862479,2.39304537789957,17.6916666666667,12.2333333333333
"2",2,18.2524419608378,2.50573464874965,21.3125,14.6954545454545
"3",3,20.2730694037146,4.74494022259366,23.2333333333333,13.7333333333333
"4",4,21.649365942029,1.73719242903458,23.4458333333333,17.4434782608696
"5",5,20.6688581112669,4.30139671146389,23.6333333333333,17.1208333333333
"6",6,20.7152482949702,0.626319611009937,21.6588235294118,19.3
"7",7,19.8020725108225,0.564837741144438,21.55,18.3541666666667
"8",8,19.0854838709677,0.974667674731183,20.8375,17.2416666666667
"9",9,18.50625,2.22272599377395,21.1375,14.2041666666667
"10",10,17.9446119682094,2.36212646364503,20.5541666666667,13.8
