"","month","avg","var","max","min"
"1",1,15.8038920056101,2.48661616053824,18.0173913043478,12.425
"2",2,18.3614906832298,2.52411348677082,21.1958333333333,14.7375
"3",3,20.373053997195,4.79330861856696,23.3125,13.5125
"4",4,21.9266666666667,1.63759770114943,23.7,18.3958333333333
"5",5,20.9802402658118,3.96644889675784,23.7666666666667,17.4791666666667
"6",6,20.3992424242424,1.6678447385295,22.375,17.3291666666667
"7",7,20.0735215053763,0.493229801373954,21.4416666666667,18.55
"8",8,19.6112297590208,0.906626989552068,21.1625,17.7916666666667
"9",9,19.0283008658009,1.44363474435918,21.0541666666667,16.3
"10",10,18.1044270833333,0.544964048032407,19.2125,16.7833333333333
