"","month","avg","var","max","min"
"1",1,15.1485698499724,2.53401702616286,17.4,11.6304347826087
"2",2,17.615436360767,2.87853212850887,20.7173913043478,13.3052631578947
"3",3,19.6368577075099,4.80926071637495,22.8833333333333,13.15
"4",4,20.9192237593325,1.74184089803099,22.5875,16.7625
"5",5,19.8265305327367,4.77898017181684,22.9611111111111,16.2583333333333
"6",6,18.8996406139739,1.95925914504988,20.8666666666667,16.0875
"7",7,18.6701622200264,0.793082730566073,19.95,16.3636363636364
"8",8,18.2379845963564,0.952710550907171,20.8,16.6083333333333
"9",9,17.5443224637681,2.50541981610191,20.2086956521739,12.565
"10",10,17.0287023612199,3.35245231277201,19.6041666666667,12.4142857142857
