"","month","avg","var","max","min"
"1",1,13.9587932900433,3.84305867340432,17.5833333333333,10.125
"2",2,17.1431511258833,2.9037849051675,21.15,13.7041666666667
"3",3,17.7513888888889,8.52856000212585,21.0095238095238,12.5458333333333
"4",4,20.8725,1.93087251984127,22.7583333333333,17.4291666666667
"5",5,19.8755184331797,3.87107198936922,22.6958333333333,16.5952380952381
"6",6,19.1770303030303,1.55440834576829,21.225,16.3458333333333
"7",7,18.5980327468231,0.64129948556928,20.3416666666667,17.0583333333333
"8",8,18.4128236279849,0.841470624218021,20.0809523809524,16.7714285714286
"9",9,17.8670833333333,2.16043624281609,20.0208333333333,13.9083333333333
"10",10,16.756518703363,2.39274269617064,19.5954545454545,12.7416666666667
