"","month","avg","var","max","min"
"1",1,14.2622311827957,2.31698950866189,16.1833333333333,10.8041666666667
"2",2,16.7727613871636,2.04907327479027,19.8608695652174,14.2375
"3",3,18.8625058438523,4.04813848737107,21.4,12.504347826087
"4",4,19.961672705314,1.3646421800045,21.6875,16.425
"5",5,18.8297043010753,4.01953905316607,21.6291666666667,14.7666666666667
"6",6,18.6576886556722,1.6100765367963,20.4291666666667,15.1375
"7",7,17.9430049088359,0.600667232631055,19.2958333333333,16.3416666666667
"8",8,17.4030504908836,0.937138510591206,19.275,15.7166666666667
"9",9,16.9084318181818,2.04683044597622,19.475,13.1916666666667
"10",10,16.4961152978072,2.01216166893721,18.9375,12.6958333333333
