"","month","avg","var","max","min"
"1",1,NA,NA,NA,NA
"2",2,NA,NA,NA,NA
"3",3,NA,NA,NA,NA
"4",4,18.3959722222222,2.95090455379949,21.4666666666667,13.925
"5",5,NA,NA,NA,NA
"6",6,NA,NA,NA,NA
"7",7,NA,NA,NA,NA
"8",8,NA,NA,NA,NA
"9",9,NA,NA,NA,NA
"10",10,NA,NA,NA,NA
"11",11,NA,NA,NA,NA
"12",12,12.4373655913978,1.67437556003584,14.825,10.7041666666667
